Date,Time,DST,disturbance_date,Disturbance_time,B(IMF),Vector_B,Lat_angle_B,Long_angle_B,Bz(GSE),Bz(GSM),RMS_magnitude,RMS_field_vector,RMS_BZ_GSE,Plasma_Temp,Proton_Density,Plasma_speed,Alpha/proton,sigma-T,sigma-n,sigma-V,sigma-ratio,flow_pressure,E_field,Plasma_beta,Kp_index,Ap_index
2002/01/04,09:30:05,-25,08/01/2002,07:00:00,11.5,11.4,3.3,141.1,0.6,0.6,0.2,0.7,0.5,90313,6.3,385,0.03,10809,0.4,4,0.006,1.75,-0.23,0.43,37,22
2002/01/08,17:54:05,-72.5,11/01/2002,06:00:00,9,8,1.8,167.8,0.3,0.4,0.1,3.3,1.9,88640,5.1,631,0.049,13627,0.5,9,0.004,4.06,-0.25,0.57,43,32
2002/01/14,05:35:07,-25,19/01/2002,17:00:00,6.9,2.5,5.9,347.9,0.3,0.2,2.6,6.2,1.7,84837,27.8,435,0.029,16182,8.2,4,0.004,9.8,-0.09,5.18,40,27
2002/01/27,12:30:05,-32.5,01/02/2002,15:00:00,13.7,13.5,-2,294.3,-0.5,-3.1,0.3,1.8,1.3,28573,19.3,345,0.028,3822,2.3,3,0.003,4.27,1.07,0.67,27,12
2002/02/16,06:30:05,-27.5,19/02/2002,04:00:00,10.3,10.2,29.3,102.8,5,7.9,0.4,1.2,0.7,85905,2.9,371,0.023,22585,0.5,12,0.005,0.73,-2.93,0.24,10,4
2002/02/20,06:30:05,-17.5,28/02/2002,10:00:00,10.6,10.1,5.2,310.4,0.9,-0.7,0.9,3,2.7,136487,23.5,376,0.034,13621,2.2,2,0.004,6.3,0.26,2.3,30,15
2002/03/10,23:06:55,-30,,,,,,,,,,,,,,,,,,,,,,,,
2002/03/11,23:30:05,-27.5,,,,,,,,,,,,,,,,,,,,,,,,
2002/03/14,17:06:06,-37.5,19/03/2002,06:00:00,22.5,22.4,29.9,274,11.2,4.2,0.3,1.9,1.4,77320,3,421,0.095,22340,0.4,6,0.113,1.23,-1.77,0.05,33,18
2002/03/15,23:06:06,-37.5,,,,,,,,,,,,,,,,,,,,,,,,
2002/03/18,02:54:06,-37.5,,,,,,,,,,,,,,,,,,,,,,,,
2002/03/20,17:54:05,-100,24/03/2002,09:00:00,9.5,8.9,-17.3,295.1,-2.7,-4.4,0.4,1.9,1.4,77169,11.5,421,0.031,12221,0.7,6,0.003,3.83,1.85,1.09,47,39
2002/03/22,11:06:05,-100,,,,,,,,,,,,,,,,,,,,,,,,
2002/04/15,03:50:05,-150,20/04/2002,08:00:00,8.5,8.5,-15.4,171.7,-2.2,-1.9,0.2,0.8,0.6,44137,4,611,0.091,14788,0.8,6,0.01,3.4,1.16,0.4,57,67
2002/04/17,08:26:05,-150,,,,,,,,,,,,,,,,,,,,,,,,
2002/04/21,01:27:20,-75,,,,,,,,,,,,,,,,,,,,,,,,
2002/05/06,13:50:05,-110,11/05/2002,19:00:00,14.6,13.3,-14.4,245.7,-3.3,-7.6,2,5.6,4.5,144370,8.1,437,0.063,36495,2.3,14,0.021,3.23,3.32,0.43,53,56
2002/05/07,04:06:05,-110,,,,,,,,,,,,,,,,,,,,,,,,
2002/05/08,13:50:05,-110,,,,,,,,,,,,,,,,,,,,,,,,
2002/05/16,00:50:05,-57.5,19/05/2002,06:00:00,17.1,17,-19.5,165.5,-5.7,-5.1,0.5,1.6,1.1,156037,6.7,441,0.043,6327,0.3,5,0.01,2.55,2.25,0.27,40,27
2002/05/22,03:50:05,-110,23/05/2002,17,18.6,16.2,-41.6,71.9,-10.8,-7.8,1.1,8.5,4.1,665769,9.1,693,9.999,61871,2.7,69,9.999,8.74,5.41,0.87,83,236
2002/05/28,16:26:05,-35,03/06/2002,00:00:00,9.1,3,-58.3,332.5,-2.5,-2.6,0.7,8.4,5.3,147969,6.1,421,0.039,11641,0.8,7,0.011,2.09,1.09,0.85,30,15
2002/07/09,19:31:48,-35,12/07/2002,10:00:00,11.7,9.6,-2,112.3,-0.3,-3.2,2.2,6,5.1,213117,13.2,451,0.09,51209,3,17,0.017,6.1,1.44,1.37,47,39
2002/07/15,20:30:05,-35,21/07/2002,18:00:00,5.5,5.3,-37.1,107,-3.2,-3.7,0.2,1.3,1,26120,2.5,515,9.999,5935,0.5,3,9.999,1.33,1.91,0.53,33,18
2002/07/16,16:02:58,-35,,,,,,,,,,,,,,,,,,,,,,,,
2002/07/18,08:06:08,-37.5,22/07/2002,10:00:00,7.1,7,-24.3,162.1,-2.9,-3.5,0.4,0.9,0.5,161457,2.9,497,0.069,25673,0.2,6,0.017,1.53,1.74,0.69,37,22
2002/07/18,19:31:47,-37.5,,,,,,,,,,,,,,,,,,,,,,,,
2002/07/19,16:30:05,-37.5,,,,,,,,,,,,,,,,,,,,,,,,
2002/07/20,22:06:09,-37.5,,,,,,,,,,,,,,,,,,,,,,,,
2002/07/23,00:42:05,-30,27/07/2002,04:00:00,8.3,7.2,-1.7,304.1,-0.2,1.1,0.1,3.5,3.3,109874,6.7,428,0.048,7759,0.3,4,0.006,2.44,-0.47,0.96,30,15
2002/07/26,22:06:10,-30,,,,,,,,,,,,,,,,,,,,,,,,
2002/08/08,20:06:34,-42.5,10/08/2002,05:00:00,7.1,3.6,27.5,139.5,1.6,0.8,0.3,5.6,4.2,110256,7.1,458,9.999,12880,0.9,15,9.999,2.98,-0.37,1.4,47,39
2002/08/16,12:30:05,-105,21/08/2002,06:00:00,8.7,8.6,-37.5,113.3,-5.2,-7.3,0.5,1.3,0.9,18382,4,434,0.119,1946,1.5,7,0.027,1.86,3.17,0.32,53,56
2002/08/22,02:06:06,-50,22/08/2002,03:00:00,10.2,8,13.8,291.9,1.9,3.9,0.9,5.7,3.2,67928,7.5,412,0.062,16436,1.9,10,0.038,2.65,-1.61,0.59,27,12
2002/08/24,01:27:19,-45,27/08/2002,05:00:00,12,11.8,-30.9,304.3,-6,-2.2,0.2,1.5,0.9,102702,11.2,407,0.061,11081,0.4,4,0.01,3.85,0.9,0.75,37,22
2002/09/05,16:54:06,-180,08/09/2002,00:00:00,19.8,19.4,-25.8,129.4,-8.4,-11.3,1.2,3.4,2.8,285602,8.9,506,0.05,17424,1.6,7,0.009,4.57,5.72,0.39,73,154
2002/09/06,13:31:49,-180,,,,,,,,,,,,,,,,,,,,,,,,
2002/10/14,14:54:05,-100,14/10/2002,13:00:00,16.8,16.7,-72.8,310.6,-16,-12.1,0.5,1.4,0.6,59637,19.3,356,0.022,7498,2.7,3,0.012,4.44,4.31,0.53,47,39
2002/10/18,18:54:05,-40,18/10/2002,03:00:00,8.2,5.7,16.6,316.2,1.6,2.7,0.1,5.2,3.5,214383,4.1,567,0.058,25863,0.5,21,0.009,2.71,-1.53,0.87,33,18
2002/10/25,10:06:05,-90,25/10/2002,01:00:00,7,6,-29.2,130,-2.9,-3.7,0.2,2.8,1.9,297325,2.6,744,0.036,15096,0.2,16,0.004,2.75,2.75,0.94,60,80
2002/10/25,15:06:05,-90,,,,,,,,,,,,,,,,,,,,,,,,
2002/10/26,07:27:15,-65,27/10/2002,15:00:00,8.1,7.7,-7.7,107.4,-1,-3.7,0.1,1.9,1,117303,4,609,0.039,7481,0.2,13,0.004,2.86,2.25,0.62,40,27
2002/10/27,23:18:13,-65,,,,,,,,,,,,,,,,,,,,,,,,
2002/11/09,13:31:45,-42.5,13/11/2002,04:00:00,11.8,9.5,3.1,297.2,0.5,2.7,0.6,5.7,5,382890,3.5,567,0.067,31815,0.6,10,0.038,2.38,-1.53,0.53,37,22
